connection_id,github_id,repo_id,number,state,title,body,priority,type,author_id,author_name,assignee_id,assignee_name,milestone_id,lead_time_minutes,url,closed_at,github_created_at,github_updated_at,severity,component,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
1,346842831,134018330,5,closed, chinese  <-p.freeSignal  chinese ,"""Hi,\n     chinese ， chinese  `<-p.freeSignal`  chinese 。  chinese ，freeSignal  chinese ， chinese  `putWorker`  chinese  `p.freeSignal <- sig{}`\n\n chinese \n```\r\nfunc (p *Pool) getWorker() *Worker {\n\tvar w *Worker\n\twaiting := false\n\n\tp.lock.Lock()\n\tidleWorkers := p.workers\n\tn := len(idleWorkers) - 1\n\tif n < 0 { //  chinese  pool chinese worker chinese \n\t\twaiting = p.Running() >= p.Cap()\n\t} else { //  chinese pool chinese worker\n\t\t<-p.freeSignal      \n\t\tw = idleWorkers[n]  \n\t\tidleWorkers[n] = nil\n\t\tp.workers = idleWorkers[:n]\n\t}\n\tp.lock.Unlock()\n\n\r\nfunc (p *Pool) Release() error {\n\tp.once.Do(func() { //  chinese \n\t\tp.release <- sig{}\n\t\tp.lock.Lock()\n\t\tidleWorkers := p.workers\n\t\tfor i, w := range idleWorkers {\n\t\t\t<-p.freeSignal\n\t\t\tw.task <- nil\n\t\t\tidleWorkers[i] = nil\n\t\t}\n\t\tp.workers = nil\n\t\tp.lock.Unlock()\n\t})\n\treturn nil\n}\n\n```\n\n chinese  `<-p.freeSignal`，  chinese putWorker chinese ？ chinese  putWorker chinese ， chinese ， chinese  idleWorkers  chinese worker chinese \n\n chinese ？ chinese """,,,8605102,pathbox,0,,7856149,2182,https://github.com/panjf2000/ants/issues/5,2018-08-03T15:32:00.000+00:00,2018-08-02T03:09:57.000+00:00,2018-08-10T04:06:36.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,11,
1,347255859,134018330,6,closed, chinese bug,"""func (p *Pool) getWorker() *Worker   chinese  199 chinese  \n chinese ，  chinese \n\n\tp.lock.Unlock()\n\t\t<-p.freeSignal\n\t\tp.lock.Lock()""",,bug,13118848,lovelly,0,,7856149,1786,https://github.com/panjf2000/ants/issues/6,2018-08-04T10:18:41.000+00:00,2018-08-03T04:32:28.000+00:00,2018-08-04T10:18:41.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,12,
1,348630179,134018330,7,closed, chinese ,""" chinese ， chinese 。 chinese ants chinese ， chinese 。 chinese \n![image](https://user-images.githubusercontent.com/4555057/43823431-98384444-9b21-11e8-880c-7458b931734a.png)\n chinese periodicallyPurge chinese \n![image](https://user-images.githubusercontent.com/4555057/43823534-e3c624a8-9b21-11e8-96c6-512e3e08db22.png)\n\n###  chinese \n\n chinese n==0 chinese \n```\r\nif n > 0 {\n\tn++\n\tp.workers = idleWorkers[n:]\n}\n```\n\n\n###  chinese \n```\r\npackage main\n\r\nimport (\n\t\""github.com/panjf2000/ants\""\n\t\""fmt\""\n\t\""time\""\n\t\""strconv\""\n)\n\r\nfunc main() {\n\n\tpool,err := ants.NewPool(100000)\n\n\tif err != nil {\n\t\tpanic(err)\n\t}\n\n\tfor i:=0;i<10000;i++{\n\t\tpool.Submit(\n\t\t\tfunc() error {\n\t\t\t\ttime.Sleep(1 * time.Millisecond)\n\t\t\t\tfmt.Println(strconv.Itoa(i))\n\t\t\t\treturn nil\n\t\t\t})\n\t}\n\n\tfor{\n\t\tpool.Submit(\n\t\t\tfunc() error {\n\t\t\t\ttime.Sleep(10 * time.Millisecond)\n\t\t\treturn nil\n\t\t})\n\t\ttime.Sleep(1 * time.Millisecond)\n\t}\n}\n```""",,bug,4555057,huiwq1990,0,,7856149,2602,https://github.com/panjf2000/ants/issues/7,2018-08-10T04:06:04.000+00:00,2018-08-08T08:43:15.000+00:00,2018-08-10T04:06:04.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,13,
1,356703393,134018330,10,closed, chinese worker chinese ,""" chinese cpu chinese ？""",,,11763614,Moonlight-Zhao,0,,7856149,36198,https://github.com/panjf2000/ants/issues/10,2018-09-29T11:45:00.000+00:00,2018-09-04T08:26:55.000+00:00,2018-09-29T11:45:00.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,16,
1,364361014,134018330,12,closed, chinese ， chinese tag chinese ,""" chinese dep chinese ， chinese ants chinese ， chinese tag chinese 。 chinese tag 3.6 chinese ed55924 chinese ，git chinese af376f1b chinese ， chinese 5 chinese ， chinese ， chinese tag chinese 。（ chinese ）""",,,29452204,edcismybrother,0,,7856149,1293,https://github.com/panjf2000/ants/issues/12,2018-09-28T06:05:58.000+00:00,2018-09-27T08:32:25.000+00:00,2019-04-21T08:19:58.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,18,
1,381941219,134018330,17,closed, chinese ,""" chinese package chinese ， chinese Release chinese ：\n\n`\n\t// Release Closed this pool.\n\tfunc (p *PoolWithFunc) Release() error {\n\t\tp.once.Do(func() {\n\t\t\tp.release <- sig{}\n\t\t\tp.lock.Lock()\n\t\t\tidleWorkers := p.workers\n\t\t\tfor i, w := range idleWorkers {\n\t\t\t\tw.args <- nil\n\t\t\t\tidleWorkers[i] = nil\n\t\t\t}\n\t\t\tp.workers = nil\n\t\t\tp.lock.Unlock()\n\t\t})\n\t\treturn nil\n\t}\n`\n\r\nrelease chinese ， chinese worker chinese ？\n chinese worker\n\n chinese ，release chinese worker chinese \n\n chinese ：\n\r\nReSize(0) \n\n chinese ？\n""",,,7931755,zplzpl,0,,7856149,103594,https://github.com/panjf2000/ants/issues/17,2019-01-29T07:24:37.000+00:00,2018-11-18T08:50:31.000+00:00,2019-01-29T07:24:37.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,23,
1,382039050,134018330,18,closed,go chinese ,""" chinese ， chinese ， chinese go chinese ， chinese ， chinese 。\"" chinese ： GOMAXPROCS sets the maximum number of CPUs that can be executing simultaneously。 chinese cpu chinese ， chinese ， chinese ?， chinese ?， chinese ?， chinese ?\""""",,,13944100,LinuxForYQH,0,,7856149,20213,https://github.com/panjf2000/ants/issues/18,2018-12-03T03:53:50.000+00:00,2018-11-19T02:59:53.000+00:00,2018-12-03T03:53:50.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,24,
1,382574800,134018330,20,closed, chinese ,"""#""",,,5668717,kklinan,0,,7856149,95398,https://github.com/panjf2000/ants/issues/20,2019-01-25T15:34:03.000+00:00,2018-11-20T09:36:02.000+00:00,2019-01-25T15:34:03.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,26,
1,388907811,134018330,21,closed,Benchmark  chinese  Semaphore  chinese ？,""" chinese  benchmark，Semaphore  chinese \n\n```bash\n$ go test -bench .\r\ngoos: darwin\r\ngoarch: amd64\r\npkg: github.com/panjf2000/ants\r\nBenchmarkGoroutineWithFunc-4   \t       1\t3445631705 ns/op\r\nBenchmarkSemaphoreWithFunc-4   \t       1\t1037219073 ns/op\r\nBenchmarkAntsPoolWithFunc-4    \t       1\t1138053222 ns/op\r\nBenchmarkGoroutine-4           \t       2\t 731850771 ns/op\r\nBenchmarkSemaphore-4           \t       2\t 914855967 ns/op\r\nBenchmarkAntsPool-4            \t       1\t1094379445 ns/op\r\nPASS\r\nok  \tgithub.com/panjf2000/ants\t33.173s\n```\n chinese  Ants  chinese ？""",,,720086,huangjunwen,0,,7856149,8392,https://github.com/panjf2000/ants/issues/21,2018-12-14T06:01:07.000+00:00,2018-12-08T10:08:17.000+00:00,2018-12-14T06:01:07.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,27,
1,401277739,134018330,22,closed, chinese  worker  chinese   PanicHandler ？,""" chinese  Pool  chinese  PanicHandler， chinese  worker  chinese  recover  chinese  PanicHandler   chinese 。 chinese  panic  chinese 。""",,,8923413,choleraehyq,0,,7856149,1174,https://github.com/panjf2000/ants/issues/22,2019-01-22T05:41:34.000+00:00,2019-01-21T10:06:56.000+00:00,2019-01-22T05:41:34.000+00:00,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,28,
