id,url,icon_url,issue_key,title,description,epic_key,type,status,original_status,story_point,resolution_date,created_date,updated_date,lead_time_minutes,parent_issue_id,priority,original_estimate_minutes,time_spent_minutes,time_remaining_minutes,creator_id,creator_name,assignee_id,assignee_name,severity,component,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
github:GithubIssue:1:346842831,https://github.com/panjf2000/ants/issues/5,,5," chinese  <-p.freeSignal  chinese ","""Hi,\n     chinese ， chinese  `<-p.freeSignal`  chinese 。  chinese ，freeSignal  chinese ， chinese  `putWorker`  chinese  `p.freeSignal <- sig{}`\n\n chinese \n```\r\nfunc (p *Pool) getWorker() *Worker {\n\tvar w *Worker\n\twaiting := false\n\n\tp.lock.Lock()\n\tidleWorkers := p.workers\n\tn := len(idleWorkers) - 1\n\tif n < 0 { //  chinese  pool chinese worker chinese \n\t\twaiting = p.Running() >= p.Cap()\n\t} else { //  chinese pool chinese worker\n\t\t<-p.freeSignal      \n\t\tw = idleWorkers[n]  \n\t\tidleWorkers[n] = nil\n\t\tp.workers = idleWorkers[:n]\n\t}\n\tp.lock.Unlock()\n\n\r\nfunc (p *Pool) Release() error {\n\tp.once.Do(func() { //  chinese \n\t\tp.release <- sig{}\n\t\tp.lock.Lock()\n\t\tidleWorkers := p.workers\n\t\tfor i, w := range idleWorkers {\n\t\t\t<-p.freeSignal\n\t\t\tw.task <- nil\n\t\t\tidleWorkers[i] = nil\n\t\t}\n\t\tp.workers = nil\n\t\tp.lock.Unlock()\n\t})\n\treturn nil\n}\n\n```\n\n chinese  `<-p.freeSignal`，  chinese putWorker chinese ？ chinese  putWorker chinese ， chinese ， chinese  idleWorkers  chinese worker chinese \n\n chinese ？ chinese """,,,DONE,closed,,2018-08-03T15:32:00.000+00:00,2018-08-02T03:09:57.000+00:00,2018-08-10T04:06:36.000+00:00,2182,,,,,,github:GithubAccount:1:8605102,pathbox,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,11,
github:GithubIssue:1:347255859,https://github.com/panjf2000/ants/issues/6,,6," chinese bug","""func (p *Pool) getWorker() *Worker   chinese  199 chinese  \n chinese ，  chinese \n\n\tp.lock.Unlock()\n\t\t<-p.freeSignal\n\t\tp.lock.Lock()""",,BUG,DONE,closed,,2018-08-04T10:18:41.000+00:00,2018-08-03T04:32:28.000+00:00,2018-08-04T10:18:41.000+00:00,1786,,,,,,github:GithubAccount:1:13118848,lovelly,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,12,
github:GithubIssue:1:348630179,https://github.com/panjf2000/ants/issues/7,,7," chinese ",""" chinese ， chinese 。 chinese ants chinese ， chinese 。 chinese \n![image](https://user-images.githubusercontent.com/4555057/43823431-98384444-9b21-11e8-880c-7458b931734a.png)\n chinese periodicallyPurge chinese \n![image](https://user-images.githubusercontent.com/4555057/43823534-e3c624a8-9b21-11e8-96c6-512e3e08db22.png)\n\n###  chinese \n\n chinese n==0 chinese \n```\r\nif n > 0 {\n\tn++\n\tp.workers = idleWorkers[n:]\n}\n```\n\n\n###  chinese \n```\r\npackage main\n\r\nimport (\n\t\""github.com/panjf2000/ants\""\n\t\""fmt\""\n\t\""time\""\n\t\""strconv\""\n)\n\r\nfunc main() {\n\n\tpool,err := ants.NewPool(100000)\n\n\tif err != nil {\n\t\tpanic(err)\n\t}\n\n\tfor i:=0;i<10000;i++{\n\t\tpool.Submit(\n\t\t\tfunc() error {\n\t\t\t\ttime.Sleep(1 * time.Millisecond)\n\t\t\t\tfmt.Println(strconv.Itoa(i))\n\t\t\t\treturn nil\n\t\t\t})\n\t}\n\n\tfor{\n\t\tpool.Submit(\n\t\t\tfunc() error {\n\t\t\t\ttime.Sleep(10 * time.Millisecond)\n\t\t\treturn nil\n\t\t})\n\t\ttime.Sleep(1 * time.Millisecond)\n\t}\n}\n```""",,BUG,DONE,closed,,2018-08-10T04:06:04.000+00:00,2018-08-08T08:43:15.000+00:00,2018-08-10T04:06:04.000+00:00,2602,,,,,,github:GithubAccount:1:4555057,huiwq1990,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,13,
github:GithubIssue:1:356703393,https://github.com/panjf2000/ants/issues/10,,10," chinese worker chinese ",""" chinese cpu chinese ？""",,,DONE,closed,,2018-09-29T11:45:00.000+00:00,2018-09-04T08:26:55.000+00:00,2018-09-29T11:45:00.000+00:00,36198,,,,,,github:GithubAccount:1:11763614,Moonlight-Zhao,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,16,
github:GithubIssue:1:364361014,https://github.com/panjf2000/ants/issues/12,,12," chinese ， chinese tag chinese ",""" chinese dep chinese ， chinese ants chinese ， chinese tag chinese 。 chinese tag 3.6 chinese ed55924 chinese ，git chinese af376f1b chinese ， chinese 5 chinese ， chinese ， chinese tag chinese 。（ chinese ）""",,,DONE,closed,,2018-09-28T06:05:58.000+00:00,2018-09-27T08:32:25.000+00:00,2019-04-21T08:19:58.000+00:00,1293,,,,,,github:GithubAccount:1:29452204,edcismybrother,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,18,
github:GithubIssue:1:381941219,https://github.com/panjf2000/ants/issues/17,,17," chinese ",""" chinese package chinese ， chinese Release chinese ：\n\n`\n\t// Release Closed this pool.\n\tfunc (p *PoolWithFunc) Release() error {\n\t\tp.once.Do(func() {\n\t\t\tp.release <- sig{}\n\t\t\tp.lock.Lock()\n\t\t\tidleWorkers := p.workers\n\t\t\tfor i, w := range idleWorkers {\n\t\t\t\tw.args <- nil\n\t\t\t\tidleWorkers[i] = nil\n\t\t\t}\n\t\t\tp.workers = nil\n\t\t\tp.lock.Unlock()\n\t\t})\n\t\treturn nil\n\t}\n`\n\r\nrelease chinese ， chinese worker chinese ？\n chinese worker\n\n chinese ，release chinese worker chinese \n\n chinese ：\n\r\nReSize(0) \n\n chinese ？\n""",,,DONE,closed,,2019-01-29T07:24:37.000+00:00,2018-11-18T08:50:31.000+00:00,2019-01-29T07:24:37.000+00:00,103594,,,,,,github:GithubAccount:1:7931755,zplzpl,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,23,
github:GithubIssue:1:382039050,https://github.com/panjf2000/ants/issues/18,,18,go chinese ,""" chinese ， chinese ， chinese go chinese ， chinese ， chinese 。\"" chinese ： GOMAXPROCS sets the maximum number of CPUs that can be executing simultaneously。 chinese cpu chinese ， chinese ， chinese ?， chinese ?， chinese ?， chinese ?\""""",,,DONE,closed,,2018-12-03T03:53:50.000+00:00,2018-11-19T02:59:53.000+00:00,2018-12-03T03:53:50.000+00:00,20213,,,,,,github:GithubAccount:1:13944100,LinuxForYQH,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,24,
github:GithubIssue:1:382574800,https://github.com/panjf2000/ants/issues/20,,20," chinese ","""#""",,,DONE,closed,,2019-01-25T15:34:03.000+00:00,2018-11-20T09:36:02.000+00:00,2019-01-25T15:34:03.000+00:00,95398,,,,,,github:GithubAccount:1:5668717,kklinan,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,26,
github:GithubIssue:1:388907811,https://github.com/panjf2000/ants/issues/21,,21,Benchmark  chinese  Semaphore  chinese ？,""" chinese  benchmark，Semaphore  chinese \n\n```bash\n$ go test -bench .\r\ngoos: darwin\r\ngoarch: amd64\r\npkg: github.com/panjf2000/ants\r\nBenchmarkGoroutineWithFunc-4   \t       1\t3445631705 ns/op\r\nBenchmarkSemaphoreWithFunc-4   \t       1\t1037219073 ns/op\r\nBenchmarkAntsPoolWithFunc-4    \t       1\t1138053222 ns/op\r\nBenchmarkGoroutine-4           \t       2\t 731850771 ns/op\r\nBenchmarkSemaphore-4           \t       2\t 914855967 ns/op\r\nBenchmarkAntsPool-4            \t       1\t1094379445 ns/op\r\nPASS\r\nok  \tgithub.com/panjf2000/ants\t33.173s\n```\n chinese  Ants  chinese ？""",,,DONE,closed,,2018-12-14T06:01:07.000+00:00,2018-12-08T10:08:17.000+00:00,2018-12-14T06:01:07.000+00:00,8392,,,,,,github:GithubAccount:1:720086,huangjunwen,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,27,
github:GithubIssue:1:401277739,https://github.com/panjf2000/ants/issues/22,,22," chinese  worker  chinese   PanicHandler ？",""" chinese  Pool  chinese  PanicHandler， chinese  worker  chinese  recover  chinese  PanicHandler   chinese 。 chinese  panic  chinese 。""",,,DONE,closed,,2019-01-22T05:41:34.000+00:00,2019-01-21T10:06:56.000+00:00,2019-01-22T05:41:34.000+00:00,1174,,,,,,github:GithubAccount:1:8923413,choleraehyq,,,,,"{""ConnectionId"":1,""Name"":""panjf2000/ants""}",_raw_github_api_issues,28,
